Date,SiO2,Al2O3,Fe2O3,B2O3,CaO,MgO,BaO,Na2O,K2O,SO3,F2,TiO2,Total,CaO+MgO+BaO,Na2O+K2O,DPR Draw,Contidrain Draw,Total Draw,Cullet %,Melter NG consumption / Day,melter Boosting KWH/day,Calorific Vallue of NG,"SFC
K.Cal/KG",Oxygen consumption /day
4/1/2022,68.75,5.23,0.037,11.45,1.10,0.50,1.91,8.71,1.97,0.064,0.252,0.022,100.00,3.51,10.68,40.70,1.818,42.52,33.3,13721,12240,9295,3247,9104
4/3/2022,68.82,5.22,0.037,11.43,1.13,0.49,1.94,8.70,1.89,0.064,0.258,0.021,100.00,3.56,10.59,40.24,1.803,42.04,33.3,13265,12240,9419,3222,9112
4/5/2022,68.62,5.20,0.035,11.52,1.13,0.49,1.97,8.69,2.00,0.065,0.259,0.021,100.00,3.59,10.69,40.24,1.797,42.04,33.3,13398,12000,9339,3222,9107
4/7/2022,68.56,5.28,0.036,11.48,1.17,0.49,2.01,8.75,1.88,0.063,0.264,0.021,100.00,3.67,10.63,35.11,1.821,36.93,33.3,12920,12648,9272,3538,9132
4/9/2022,68.50,5.24,0.034,11.47,1.16,0.50,2.00,8.67,2.08,0.065,0.259,0.021,100.00,3.66,10.75,40.11,1.831,41.94,33.3,13276,12480,9432,3241,9100
4/11/2022,68.51,5.22,0.036,11.36,1.18,0.50,2.03,8.67,2.15,0.065,0.256,0.022,100.00,3.71,10.82,39.81,1.828,41.64,33.3,13664,12528,9313,3315,9088
4/13/2022,68.54,5.19,0.041,11.43,1.18,0.48,2.05,8.71,2.03,0.066,0.257,0.024,100.00,3.71,10.74,39.92,1.863,41.78,33.3,13142,12480,9307,3184,9091
4/15/2022,68.45,5.17,0.043,11.46,1.18,0.48,2.07,8.70,2.10,0.068,0.256,0.024,100.00,3.73,10.80,39.29,1.865,41.15,33.3,13259,12480,9380,3283,9116
4/17/2022,68.40,5.09,0.044,11.59,1.18,0.48,2.09,8.64,2.13,0.066,0.261,0.024,100.00,3.75,10.77,39.53,1.850,41.38,33.3,13377,12480,9345,3280,9097
4/19/2022,68.04,5.36,0.044,11.51,1.19,0.48,2.10,8.67,2.27,0.067,0.241,0.024,100.00,3.77,10.94,40.11,1.857,41.97,33.3,13808,12480,9139,3262,9100
4/21/2022,68.00,5.39,0.044,11.53,1.22,0.47,2.07,8.66,2.26,0.067,0.261,0.023,100.00,3.76,10.92,40.41,1.850,42.26,33.3,13873,12480,9031,3219,9123
4/23/2022,68.15,5.19,0.046,11.60,1.23,0.47,2.09,8.67,2.17,0.067,0.289,0.025,100.00,3.79,10.84,40.41,1.845,42.25,33.3,12736,12480,9717,3183,9120
4/25/2022,68.21,5.38,0.042,11.64,1.15,0.46,1.93,8.79,1.98,0.067,0.330,0.020,100.00,3.54,10.77,41.04,1.838,42.88,33.3,13405,12048,9349,3164,9106
4/27/2022,68.34,5.28,0.044,11.68,1.15,0.47,1.92,8.76,1.94,0.072,0.322,0.020,100.00,3.54,10.70,41.20,1.848,43.05,33.3,13353,12000,9327,3133,9106
4/29/2022,68.34,5.29,0.046,11.67,1.15,0.49,1.93,8.79,1.90,0.066,0.307,0.020,100.00,3.57,10.69,41.28,1.830,43.11,33.3,13274,12000,9460,3152,9097
5/1/2022,68.17,5.32,0.046,11.69,1.13,0.48,1.99,8.82,1.94,0.067,0.322,0.022,100.00,3.60,10.76,41.06,1.844,42.90,33.3,12418,12000,9835,3087,9365
5/3/2022,68.19,5.40,0.044,11.55,1.10,0.50,1.98,8.78,2.04,0.064,0.330,0.022,100.00,3.58,10.82,41.52,1.849,43.37,33.3,12727,12408,9735,3103,9368
5/5/2022,67.98,5.45,0.040,11.66,1.04,0.51,1.96,8.73,2.20,0.062,0.343,0.022,100.00,3.51,10.93,40.28,1.844,42.12,33.3,12917,12960,9592,3206,9354
5/7/2022,68.33,5.47,0.036,11.46,1.00,0.50,1.92,8.78,2.09,0.062,0.327,0.027,100.00,3.42,10.87,38.38,1.853,40.23,33.3,12956,12600,9448,3312,9363
5/9/2022,68.24,5.48,0.037,11.50,1.01,0.51,1.93,8.82,2.05,0.064,0.329,0.030,100.00,3.45,10.87,38.64,1.833,40.47,33.3,13173,12360,9408,3325,9353
5/11/2022,68.14,5.56,0.039,11.55,1.05,0.50,1.99,8.86,1.89,0.064,0.328,0.028,100.00,3.54,10.75,39.04,1.839,40.88,33.3,13025,12240,9442,3266,9370
5/13/2022,68.18,5.45,0.040,11.57,1.07,0.51,2.03,8.89,1.84,0.064,0.328,0.026,100.00,3.61,10.73,39.36,1.837,41.20,33.3,13073,12384,9454,3259,9410
5/15/2022,68.41,5.38,0.042,11.49,1.09,0.51,2.03,8.86,1.78,0.062,0.315,0.026,100.00,3.63,10.64,40.49,1.849,42.34,33.3,13052,12168,9453,3161,9421
5/17/2022,68.65,5.06,0.044,11.47,1.11,0.50,2.05,8.69,2.03,0.067,0.303,0.025,100.00,3.66,10.72,39.77,1.846,41.62,33.3,13309,12360,9320,3236,9356
5/19/2022,68.76,5.06,0.044,11.35,1.11,0.50,2.03,8.62,2.11,0.085,0.306,0.026,100.00,3.64,10.73,39.60,1.833,41.43,33.3,13272,12120,9323,3238,9329
5/21/2022,68.51,5.16,0.048,11.42,1.13,0.49,2.08,8.65,2.11,0.064,0.308,0.028,100.00,3.70,10.76,40.39,1.845,42.24,33.3,13649,12000,9339,3263,9355
5/23/2022,68.43,5.28,0.044,11.63,1.06,0.50,1.99,8.73,1.99,0.063,0.262,0.024,100.00,3.55,10.72,39.45,1.843,41.29,33.3,13303,12312,9299,3252,9366
5/25/2022,68.57,5.12,0.046,11.73,1.04,0.48,1.96,8.70,2.00,0.063,0.267,0.023,100.00,3.48,10.70,38.88,1.850,40.73,33.3,13298,12240,9292,3292,9366
5/27/2022,68.99,5.00,0.048,11.52,1.05,0.48,1.95,8.59,2.04,0.065,0.242,0.026,100.00,3.48,10.63,38.88,1.859,40.74,33.3,13206,12480,9316,3283,9326
5/29/2022,69.04,4.83,0.048,11.55,1.07,0.49,1.98,8.59,2.07,0.063,0.239,0.026,100.00,3.54,10.66,38.69,1.856,40.55,33.3,13322,12624,9310,3327,9398
